"key","description"
"InstrumentXraylens02_lens_geometry","Geometry of the lens. Any of these values:paraboloid,spherical,elliptical,hyperbolical"
"InstrumentXraylens02_lens_length","Length of the lens"
"InstrumentXraylens02_lens_material","Material used to make the lens"
"InstrumentXraylens02_lens_thickness","Thickness of the lens"
"InstrumentXraylens02_number_of_lenses","Number of lenses that make up the compound lens"
"InstrumentXraylens03_aperture","Diameter of the lens"
"InstrumentXraylens03_curvature","Radius of the curvature as measured in the middle of the lens"
"InstrumentXraylens03_focus_type","The type of focus of the lens. Any of these values:line,point"
"InstrumentXraylens03_lens_geometry","Geometry of the lens. Any of these values:paraboloid,spherical,elliptical,hyperbolical"
"InstrumentXraylens03_lens_length","Length of the lens"
"InstrumentXraylens03_lens_material","Material used to make the lens"
"InstrumentXraylens03_lens_thickness","Thickness of the lens"
"InstrumentXraylens03_number_of_lenses","Number of lenses that make up the compound lens"
"InstrumentXraylens04_aperture","Diameter of the lens"
"InstrumentXraylens04_curvature","Radius of the curvature as measured in the middle of the lens"
"InstrumentXraylens04_focus_type","The type of focus of the lens. Any of these values:line,point"
"InstrumentXraylens04_lens_geometry","Geometry of the lens. Any of these values:paraboloid,spherical,elliptical,hyperbolical"
"InstrumentXraylens04_lens_length","Length of the lens"
"InstrumentXraylens04_lens_material","Material used to make the lens"
"InstrumentXraylens04_lens_thickness","Thickness of the lens"
"InstrumentXraylens04_number_of_lenses","Number of lenses that make up the compound lens"
"InstrumentXraylens05_aperture","Diameter of the lens"
"InstrumentXraylens05_curvature","Radius of the curvature as measured in the middle of the lens"
"InstrumentXraylens05_focus_type","The type of focus of the lens. Any of these values:line,point"
"InstrumentXraylens05_lens_geometry","Geometry of the lens. Any of these values:paraboloid,spherical,elliptical,hyperbolical"
"InstrumentXraylens05_lens_length","Length of the lens"
"InstrumentXraylens05_lens_material","Material used to make the lens"
"InstrumentXraylens05_lens_thickness","Thickness of the lens"
"InstrumentXraylens05_number_of_lenses","Number of lenses that make up the compound lens"
"InstrumentXraylens06_aperture","Diameter of the lens"
"InstrumentXraylens06_curvature","Radius of the curvature as measured in the middle of the lens"
"InstrumentXraylens06_focus_type","The type of focus of the lens. Any of these values:line,point"
"InstrumentXraylens06_lens_geometry","Geometry of the lens. Any of these values:paraboloid,spherical,elliptical,hyperbolical"
"InstrumentXraylens06_lens_length","Length of the lens"
"InstrumentXraylens06_lens_material","Material used to make the lens"
"InstrumentXraylens06_lens_thickness","Thickness of the lens"
"InstrumentXraylens06_number_of_lenses","Number of lenses that make up the compound lens"
"InstrumentXraylens07_aperture","Diameter of the lens"
"InstrumentXraylens07_curvature","Radius of the curvature as measured in the middle of the lens"
"InstrumentXraylens07_focus_type","The type of focus of the lens. Any of these values:line,point"
"InstrumentXraylens07_lens_geometry","Geometry of the lens. Any of these values:paraboloid,spherical,elliptical,hyperbolical"
"InstrumentXraylens07_lens_length","Length of the lens"
"InstrumentXraylens07_lens_material","Material used to make the lens"
"InstrumentXraylens07_lens_thickness","Thickness of the lens"
"InstrumentXraylens07_number_of_lenses","Number of lenses that make up the compound lens"
"InstrumentXraylens08_aperture","Diameter of the lens"
"InstrumentXraylens08_curvature","Radius of the curvature as measured in the middle of the lens"
"InstrumentXraylens08_focus_type","The type of focus of the lens. Any of these values:line,point"
"InstrumentXraylens08_lens_geometry","Geometry of the lens. Any of these values:paraboloid,spherical,elliptical,hyperbolical"
"InstrumentXraylens08_lens_length","Length of the lens"
"InstrumentXraylens08_lens_material","Material used to make the lens"
"InstrumentXraylens08_lens_thickness","Thickness of the lens"
"InstrumentXraylens08_number_of_lenses","Number of lenses that make up the compound lens"
"InstrumentXraylens09_aperture","Diameter of the lens"
"InstrumentXraylens09_curvature","Radius of the curvature as measured in the middle of the lens"
"InstrumentXraylens09_focus_type","The type of focus of the lens. Any of these values:line,point"
"InstrumentXraylens09_lens_geometry","Geometry of the lens. Any of these values:paraboloid,spherical,elliptical,hyperbolical"
"InstrumentXraylens09_lens_length","Length of the lens"
"InstrumentXraylens09_lens_material","Material used to make the lens"
"InstrumentXraylens09_lens_thickness","Thickness of the lens"
"InstrumentXraylens09_number_of_lenses","Number of lenses that make up the compound lens"
"InstrumentXraylens10_aperture","Diameter of the lens"
"InstrumentXraylens10_curvature","Radius of the curvature as measured in the middle of the lens"
"InstrumentXraylens10_focus_type","The type of focus of the lens. Any of these values:line,point"
"InstrumentXraylens10_lens_geometry","Geometry of the lens. Any of these values:paraboloid,spherical,elliptical,hyperbolical"
"InstrumentXraylens10_lens_length","Length of the lens"
"InstrumentXraylens10_lens_material","Material used to make the lens"
"InstrumentXraylens10_lens_thickness","Thickness of the lens"
"InstrumentXraylens10_number_of_lenses","Number of lenses that make up the compound lens"
"MRT_IC01","Counts on ION chamber 0-1"
"MRT_IC02","Counts on ION chamber 0-2"
"MRT_IC0MU1","Counts on ION MUSST chamber 0-1"
"MRT_IC0MU2","Counts on ION MUSST chamber 0-2"
"MRT_IONCH1","Counts on ION chamber 1"
"MRT_IONCH2","Counts on ION chamber 2"
"MRT_beamHeight","Beam Vertical Width"
"MRT_beamSize","Microbeam Width"
"MRT_crossAngle","Crossfiring Angle"
"MRT_crossMot","Crossfiring Motor"
"MRT_crossN","Number of Crossfiring"
"MRT_ctcMot","C-to-C Motor"
"MRT_ctcN","Number of Irradiations"
"MRT_ctcSpacing","C-to-C Spacing"
"MRT_dose","Dose Planned"
"MRT_doseRate","Dose Rate"
"MRT_expoSpeed","Z Last Speed"
"MRT_expoStart","Z Start Position"
"MRT_expoStop","Z Stop Position"
"MRT_intlcdMot","Interlaced Motor"
"MRT_intlcdOff","Interlaced Offset"
"MRT_mscType","Multislit Type"
"MXAutoprocIntegration_anomalous","anomalous"
"MXAutoprocIntegration_beam_vector_x","Vector X"
